JOY DRILL,PARTS
Part Number,Qty,Part Number,Qty,Part Number,Qty
1139165‐53 1139173‐88 1139177‐27 1139177‐75 1139182‐14 1139185‐4 1139185‐42 1139185‐44 1139185‐45 1139185‐95 1139185‐164 1139185‐168 1139185‐186 1139185‐209 1139185‐278 1139185‐308 1139197‐3 1139221‐6 1139221‐7 1139221‐10 1139222‐8 1139225‐10 1139225‐22,1 4 1 1 1 1 1 1 13 2 2 2 2 1 1 5 1 2 2 7 8 7 1,1139253‐74 1139253‐90 1139253‐91 1139253‐92 1139253‐93 1139253‐179 1139253‐180 1139253‐184 1139253‐185 1139253‐192 1139253‐193 1139253‐196 1139253‐203 1139253‐206 1139253‐207 1139253‐208 1139253‐209 1139253‐212,211113211311232114,108 1139281‐122 1139285‐14 1139285‐18 1139285‐21 1139301‐13 1139301‐16 1139301‐17 1139301‐32 1139301‐63 1139301‐86 1139301‐126 1139305‐14 1139305‐19 1139305‐30 1139309‐35 1139333‐5 1139333‐14 1139333‐28 1139333‐32 1139337‐54 1139341‐35 1139345‐18 1139345‐19 1139345‐22 1139345‐38 1139345‐44,111261441111224114112126361651
LC VOUGHT,JOY DRILL,"PARTS, PAGE",17
Part Number,Qty,Part Number,Qty,Part Number,Qty
1139345‐45,20,1139373‐,,1139393‐,
1139353‐33 1139361‐53 1139369‐5 1139369‐16 1139369‐23 1139369‐28 1139369‐31 1139369‐35 1139369‐38 1139369‐71 1139369‐122 1139369‐145 1139369‐153 1139369‐160 1139369‐163 1139369‐189 1139373‐4 1139373‐25 1139373‐27 1139373‐28 1139373‐29 1139373‐30 1139373‐33,3 2 2 6 35 2 2 8 1 1 12 11 3 2 8 8 1 14 16 4 2 2,133 1139377‐232 1139385‐1 1139385‐2 1139385‐3 1139385‐5 1139389‐59 1139389‐63 1139389‐69 1139389‐70 1139389‐92 1139389‐104 1139393‐105 1139389‐143 1139389‐178 1139389‐192 1139389‐210 1139389‐294 1139389‐298 1139393‐37 1139393‐75,11420172220526314511475343242,186 1139393‐224 1139398‐3 1139398‐22 1139398‐93 1139398‐162 1139400‐73 1139400‐74 1139400‐125 1139400‐126 1139400‐139 1139400‐157 1139400‐168 1139400‐182 1139400‐209 1139400‐337 1139400‐340 1139400‐345 1139400‐,146521111131182122
1139373‐40,4,1139393‐,,354,2
1139373‐96,16,104,1,1139400‐,
1139373‐,,1139393‐,,355,2
103,37,116,2,1139400‐,
1139373‐,,1139393‐,,356,2
104,9,140,4,1139400‐,
1139373‐,,1139393‐,,357,2
109,1,145,3,1139400‐,
1139373‐,,1139393‐,,427,99
114,21,146,1,1139400‐,
1139373‐,,1139393‐,,487,2
118,47,147,6,1139400‐,
1139373‐,,1139393‐,,511,1
124,11,183,1,,
LC VOUGHT,JOY DRILL,"PARTS, PAGE",18
Part Number,Qty,Part Number,Qty,Part Number,Qty
1139400‐,,1139449‐13,2,1139493‐,
541 1139400‐651 1139400‐670 1139400‐736 1139417‐8 1139417‐36 1139417‐133,1 1 1 1 6 1 36,1139449‐32 1139499‐33 1139453‐24 1139469‐2 1139473‐96 1139473‐199 1139477‐9 1139477‐24 1139477‐26,24131229911,248 1139493‐273 1139495‐13 1139495‐14 1139495‐19 1139495‐37 1139503‐33 1139505‐50 1139505‐51,22611153154
1139421‐1 1139421‐10 1139421‐21 1139421‐25,4 7 5 2,1139477‐56 1139477‐57 1139477‐58 1139477‐59,8111,1139505‐81 1139505‐102 1139505‐105,413
1139421‐31,2,1139477‐95,2,1139505‐,
1139437‐20,2,1139477‐,,133,9
1139437‐43 1139437‐44 1139437‐46 1139437‐47 1139437‐48,1 99 99 19 7,107 1139477‐118 1139477‐136 1139477‐,724,1139505‐160 1139505‐166 1139505‐189,2214
1139437‐49,2,137,2,1139505‐,
1139437‐50,6,1139477‐,,190,4
1139437‐53 1139437‐55 1139437‐98 1139437‐115 1139437‐116 1139437‐138 1139437‐152 1139437‐177 1139437‐230 1139437‐272 1139437‐287,1 2 10 1 1 2 2 2 3 2 2,149 1139477‐150 1139482‐3 1139493‐52 1139493‐53 1139493‐62 1139493‐133 1139493‐159 1139493‐163 1139493‐214 1139493‐215 1139493‐216,33143513123123,1139509‐10 1139509‐46 1139509‐68 1139513‐2 1139513‐22 1139513‐23 1139513‐26 1139513‐118 1139513‐132 1139513‐147 1139513‐175 1139513‐292 1139513‐,3238372244194
LC VOUGHT,JOY DRILL,"PARTS, PAGE",19
Part Number,Qty,Part Number,Qty,Part Number,Qty
316,,1139557‐3,1,903,
1139513‐,,1139557‐5,1,1140275‐,
392 1139517‐8 1139517‐9 1139517‐19 1139517‐23 1139517‐24 1139517‐27 1139517‐28,4 13 10 3 6 1 5 4,1139577‐24 1139577‐29 1139581‐35 1139581‐109 1139581‐163 1139597‐1,3137114,925 1140275‐928 1140275‐1338 1140275‐1471 1140275‐2623,652199
1139517‐29,9,1139597‐2,1,1140275‐,
1139517‐36,5,1139601‐30,1,2731,4
1139517‐38 1139517‐48 1139517‐53 1139517‐115 1139517‐127,33 2 32 14 48,1139601‐35 1139601‐36 1139601‐206 1139609‐5 1139613‐377,41912,1140275‐2878 1140275‐2879 1157000‐24 1157004‐13 1157017‐14,7386132
1139517‐,,1139617‐32,10,1157037‐3,7
135,1,1139617‐78,2,1157049‐14,1
1139517‐,,1139617‐85,2,1157051‐18,1
136 1139517‐190 1139517‐193 1139521‐32 1139521‐34 1139521‐40 1139521‐42 1139521‐45 1139521‐47 1139529‐28 1139537‐130,4 3 4 1 2 2 3 1 1 2 1,1139659 1139747‐176 1139758‐1 1139758‐5 1139769‐27 1139774‐8 1139774‐27 1139775‐17 1139775‐29 1139900‐3 1140105‐31 1140106‐10,122125311212,1157062‐13 1157062‐24 1157067‐7 1157067‐15 1157099‐3 1157101‐60 1157105‐8 1157105‐21 1157113‐5 1157133‐17 1157140‐3 1157143‐3 1157150‐21,243211341108382
1139541‐1 1139541‐18 1139549‐5 1139549‐13,1 2 4 14,1140275‐66 1140275‐503 1140275‐895,1993,1157150‐22 1157150‐24 1157150‐25 1157159‐10,2331
1139549‐48,12,1140275‐,,1157159‐17,1
1139553‐,,896,4,1157195‐1,20
240,1,1140275‐,2,1157195‐24,8
LC VOUGHT,JOY DRILL,"PARTS, PAGE",20
Part Number,Qty,Part Number,Qty,Part Number,Qty
1157195‐25,2,1356815‐4,2,1663748‐16,1
1157243‐8,8,1356816‐3,1,1740623,2
1157243‐9,11,1356857,2,1740935,1
1157243‐10,6,1356965,1,3130240,1
1157243‐11,8,1357239,1,3138225‐,
1157243‐35,1,1357622‐2,3,237,2
1157243‐40,2,1357624,23,3139003‐72,3
1157243‐59,3,1357624TS,4,3139003‐83,2
1157265‐3,2,1357756,12,3139003‐85,1
1157282‐4,1,1357758,2,3139004‐3,1
1157288‐1 1157288‐17 1157292‐1 1157292‐11,8 2 4 1,1357787‐1 1357897 1357935 1357935‐2,12122,3139004‐60 3139005‐193 3139006‐125,131
1157292‐12,1,1357958,1,3139006‐,
1157309‐10,2,1357960,1,135,10
1157335‐22,1,1357996,1,3139008‐18,1
1157383‐7,1,1358048,9,3139008‐41,2
1157400‐3,23,1358049,4,3139008‐51,1
1157463,3,1358129‐1,2,3139008‐52,1
1157525‐6,5,1358170‐1,1,3139009‐11,1
1157525‐9,1,1358232,3,3139010‐36,13
1157530‐2,3,1358302,3,3139018‐18,1
1157690,3,1358455,2,3139018‐26,1
1190132‐,,1358502,2,3139018‐30,1
117,1,1358523,2,3139018‐,
1190258‐5,2,1358576‐1,15,112,1
1223081,4,1358676‐1,1,3139025‐33,4
1224394,1,1358683,1,3139025‐50,10
1224951,1,1358708,2,3139025‐73,1
1225602,2,1358709,1,3139025‐75,3
1225603,2,1358710,3,3139025‐79,5
1225954,1,1358712,4,3139025‐86,6
1227500,4,1358716,2,3139025‐91,14
1228155,2,1358739,1,3139025‐93,1
1228325‐1,5,1359564,8,3139025‐94,1
1228332‐1,10,1359960,1,3139025‐96,10
1278743‐19,4,1359963,2,3139025‐97,6
1356771,99,1663274,2,3139030‐11,5
1356775‐1,6,1663597‐,,3139034‐,
1356814‐16,1,161,3,T45,1
LC VOUGHT,JOY DRILL,"PARTS, PAGE",21
Part Number,Qty,Part Number,Qty,Part Number,Qty
3139034‐,,3139237‐,,3139521‐55,1
173 3139034‐176 3139034‐249 3139034‐366 3139053‐51 3139053‐98 3139061‐3 3139065‐29 3139081‐42 3139081‐103 3139081‐162 3139085‐16 3139105‐314 3139105‐388 3139105‐646 3139105‐686 3139125‐417 3139125‐678,2 1 1 2 2 5 5 3 5 2 2 5 4 1 1 2 1 1,145 3139245‐23 3139253‐44 3139253‐63 3139253‐185 3139265‐88 3139301‐14 3139301‐41 3139301‐73 3139301‐74 3139301‐75 3139301‐76 3139305‐5 3139327‐11 3139345‐59 3139353‐41 3139373‐23 3139373‐33 3139389‐160 3139398‐61 3139398‐159 3139400‐6 3139421‐15 3139449‐28,412101111131211122112112228,3139521‐56 3139521‐80 3139525‐2 3139553‐256 3139553‐375 3139553‐377 3139557‐46 3139563‐377 3139565‐79 3139573‐3 3139573‐7 3139577‐19 3139581‐95 3139581‐123 3139581‐146 3139581‐151 3139581‐152 3139581‐168 3139601‐38,11131322212131111125
3139125‐,,3139449‐71,1,3139613‐50,2
693,1,3139482‐12,4,3139617‐60,2
3139125‐,,3139482‐,,3139753‐7,5
747,1,1250,1,3139753‐12,1
3139141‐12,4,3139493‐60,5,3139753‐13,1
3139141‐179 3139145‐32 3139149‐137 3139151‐17 3139182‐18 3139189‐24 3139189‐32 3139225‐20,10 2 1 1 1 1 3 6,3139493‐61 3139493‐62 3139493‐267 3139505‐265 3139521‐40 3139521‐41 3139521‐46,21111211,3139753‐15 3139759‐2 3139769‐4 3139774‐18 3139774‐41 3410104‐19 3140105‐3 3140105‐11 3140105‐49,223111211
LC VOUGHT,JOY DRILL,"PARTS, PAGE",22
Part Number,Qty,Part Number,Qty,Part Number,Qty
3140240,2,,,,
3140275‐,,,,,
1438,1,,,,
3140275‐,,,,,
1565,4,,,,
3140275‐,,,,,
1579,1,,,,
3140275‐,,,,,
1721,3,,,,
3140275‐,,,,,
2000,1,,,,
3140275‐,,,,,
2001,1,,,,
3140275‐,,,,,
2341,2,,,,
3157067‐8,1,,,,
3157105‐6,1,,,,
3157117‐,,,,,
181,2,,,,
3157150‐19,4,,,,
3157175‐22,7,,,,
3157195‐2,6,,,,
3157195‐23,1,,,,
3157251‐8,1,,,,
3157251‐14,4,,,,
3157296‐3,28,,,,
3157297‐5,17,,,,
3157383‐11,4,,,,
3157383‐14,1,,,,
3157524‐10,1,,,,
3157524‐16,2,,,,
3157524‐17,1,,,,
3189932‐4,1,,,,
3189932‐6,1,,,,
3189932‐,,,,,
174,16,,,,
3190106‐25,2,,,,
3225989,1,,,,
3225997,3,,,,
3228193‐7,1,,,,
3228193‐8,3,,,,
5018515‐8,1,,,,
5019660‐1,3,,,,
LC VOUGHT,JOY DRILL,"PARTS, PAGE",23
